key,region,cat1,cat2,amount,time
386,부산광역시,120. 수송 및 교통,"126. 대중교통, 물류 등 기타",459445,2012
387,부산광역시,140. 국토 및 지역개발,141. 수자원,59120,2012
388,부산광역시,140. 국토 및 지역개발,142. 지역 및 도시,438010,2012
389,부산광역시,140. 국토 및 지역개발,143. 산업단지,32164,2012
390,부산광역시,150. 과학기술,153. 과학기술일반,0,2012
391,부산광역시,160. 예비비,161. 예비비,99476,2012
392,부산광역시,900. 기타,901. 기타,1222952,2012
393,서울특별시,010. 일반공공행정,011. 입법 및 선거관리,56251,2012
394,서울특별시,010. 일반공공행정,013. 지방행정 및 재정지원,2988101,2012
395,서울특별시,010. 일반공공행정,014. 재정 및 금융,399162,2012
396,서울특별시,010. 일반공공행정,016. 일반행정,1165365,2012
397,서울특별시,020. 공공질서 및 안전,023. 경찰,1303,2012
398,서울특별시,020. 공공질서 및 안전,025. 재난방재 및 민방위,170792,2012
399,서울특별시,050. 교육,051. 유아 및 초중등 교육,2791142,2012
400,서울특별시,050. 교육,052. 고등교육,47575,2012
401,서울특별시,050. 교육,053. 평생 및 직업교육,48833,2012
402,서울특별시,060. 문화 및 관광,061. 문화예술,362135,2012
403,서울특별시,060. 문화 및 관광,062. 관광,67633,2012
404,서울특별시,060. 문화 및 관광,063. 체육,232852,2012
405,서울특별시,060. 문화 및 관광,064. 문화재,59239,2012
406,서울특별시,060. 문화 및 관광,065. 문화 및 관광 일반,3819,2012
407,서울특별시,070. 환경보호,071. 상하수도 및 수질,1317757,2012
408,서울특별시,070. 환경보호,072. 폐기물,414338,2012
409,서울특별시,070. 환경보호,073. 대기,381105,2012
410,서울특별시,070. 환경보호,074. 자연,69095,2012
411,서울특별시,070. 환경보호,075. 해양,0,2012
412,서울특별시,070. 환경보호,076. 환경보호일반,84668,2012
413,서울특별시,080. 사회복지,081. 기초생활보장,706206,2012
414,서울특별시,080. 사회복지,082. 취약계층지원,2683928,2012
415,서울특별시,080. 사회복지,"084. 보육, 가족 및 여성",2188570,2012
416,서울특별시,080. 사회복지,085. 노인 및 청소년,1690662,2012
417,서울특별시,080. 사회복지,086. 노동,223629,2012
418,서울특별시,080. 사회복지,087. 보훈,5071,2012
419,서울특별시,080. 사회복지,088. 주택,1167132,2012
420,서울특별시,080. 사회복지,089. 사회복지일반,28189,2012
421,서울특별시,090. 보건,091. 보건의료,465889,2012
